"meal","food","ED"
"std_meal","applesauce",0.445
"std_meal","carrot",0.417
"std_meal","cheese_sndwch",2.755
"std_meal","cookies",4.845
"std_meal","ham_sndwch",2.208
"std_meal","milk",0.541
"std_meal","pbj_sndwch",3.451
"std_meal","potatochip",5.713
"std_meal","turkey_sndwch",2.078
"std_meal","ketchup",1.111
"std_meal","mayo",7.258
"std_meal","mustard",0
"EAH","brownies",4.364
"EAH","cornchips",5.707
"EAH","hersheys",5
"EAH","icecream",1.875
"EAH","oreos",4.712
"EAH","popcorn",5.667
"EAH","pretzels",3.923
"EAH","skittles",4
"EAH","starbursts",4
"EAH","water",0
"ps_meal","chkn_nug",2.5
"ps_meal","mac_cheese",1.7
"ps_meal","grapes",0.695
"ps_meal","broccoli",1.003
"ps_meal","ketchup",1.167
"ps_meal","water",0
